"","Team","average","winPercentage_order","FBSR_order","clutchPercentage_order","KPR_order","start","finish"
"1","100 Thieves",18.5,26,20,29,25,16,16
"2","BBL Esports",11.25,14,28,15,2,16,16
"3","Cloud9",10,9,21,2,17,16,16
"4","DRX",12.75,11,22,8,21,16,16
"5","DetonatioN FocusMe",20.75,29,27,28,28,16,16
"6","Evil Geniuses",5.5,3,10,4,8,16,16
"7","FNATIC",0.75,1,1,1,1,16,16
"8","FURIA",13.25,16,14,17,22,16,16
"9","FUT Esports",8.75,12,13,10,12,16,16
"10","Gen.G Esports",16,23,15,26,23,16,16
"11","Giants Gaming",6,6,6,14,4,16,16
"12","Global Esports",7.75,18,9,7,15,16,16
"13","KOI",15.25,25,29,19,13,16,16
"14","KRÜ Esports",12,24,16,18,14,16,16
"15","Karmine Corp",9.25,28,7,27,3,16,16
"16","LOUD",3.75,2,2,6,7,16,16
"17","Leviatán",7.5,10,3,16,11,16,16
"18","MIBR",18.75,27,25,23,27,16,16
"19","NRG Esports",5.5,5,8,5,9,16,16
"20","Natus Vincere",8.25,7,5,12,16,16,16
"21","Paper Rex",4.5,4,4,9,5,16,16
"22","Rex Regum Qeon",15.75,19,23,21,19,16,16
"23","Sentinels",8.5,15,17,11,6,16,16
"24","T1",14,21,19,13,24,16,16
"25","Talon Esports",13,20,12,20,20,16,16
"26","Team Liquid",11.5,13,11,25,10,16,16
"27","Team Secret",12.5,8,18,3,29,16,16
"28","Team Vitality",19,17,26,24,26,16,16
"29","ZETA DIVISION",16,22,24,22,18,16,16
